TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,BOROUGH
House for sale,1499999,5,3,2184,Queens
House for sale,1250000,4,3,2184,Queens
House for sale,399000,3,2,1601,Queens
Multi-family home for sale,1308888,4,3,2184,Queens
House for sale,1265000,3,2,2184,Queens
House for sale,1280000,4,2,2340,Queens
Multi-family home for sale,1090000,5,3,2184,Queens
Co-op for sale,295000,2,1,950,Queens
Townhouse for sale,1268000,3,2,1513,Queens
House for sale,1250000,4,2,2184,Queens
Autre_Type,160000,3,2,2184,Queens
House for sale,1448000,5,4,2000,Queens
Condo for sale,580000,2,2,2184,Queens
House for sale,969000,3,2,1776,Queens
House for sale,3900000,5,6,7723,Queens
House for sale,215000,3,2,1509,Queens
Multi-family home for sale,915999,5,3,2184,Queens
House for sale,729000,4,2,2184,Queens
Townhouse for sale,1198000,4,2,2184,Queens
Multi-family home for sale,849000,5,3,2460,Queens
House for sale,599000,3,1,1340,Queens
House for sale,529000,3,1,1800,Queens
House for sale,649999,3,2,2184,Queens
Multi-family home for sale,1288000,5,3,1500,Queens
Co-op for sale,298999,2,1,2184,Queens
Multi-family home for sale,2099000,6,5,2184,Queens
Multi-family home for sale,899000,4,2,2184,Queens
House for sale,2098000,5,4,1200,Queens
House for sale,758888,3,1,2184,Queens
Multi-family home for sale,1350000,5,3,2184,Queens
Multi-family home for sale,838000,8,4,2184,Queens
Pending,999888,4,2,1900,Queens
House for sale,848724,2,2,2184,Queens
Multi-family home for sale,2399000,10,5,2184,Queens
Townhouse for sale,899000,3,2,1400,Queens
Autre_Type,886545,6,4,2116,Queens
House for sale,875000,4,3,2129,Queens
Multi-family home for sale,1630000,11,6,2184,Queens
House for sale,1350000,5,3,2082,Queens
House for sale,1350000,5,3,2082,Queens
House for sale,719999,3,2,2184,Queens
House for sale,669000,4,2,2184,Queens
House for sale,1288000,5,2,2184,Queens
Multi-family home for sale,1198000,6,5,2184,Queens
House for sale,897888,3,2,1260,Queens
House for sale,897888,3,2,1260,Queens
Multi-family home for sale,1198000,6,5,2184,Queens
House for sale,1288000,5,2,2184,Queens
House for sale,2100000,4,3,3512,Queens
Multi-family home for sale,1149999,6,3,2184,Queens
Multi-family home for sale,649000,4,2,2184,Queens
House for sale,998000,4,2,2184,Queens
Pending,750000,4,3,2184,Queens
House for sale,1350000,6,4,2184,Queens
House for sale,669900,3,2,1376,Queens
Pending,779000,5,3,2000,Queens
House for sale,988000,3,3,1311,Queens
House for sale,850000,4,2,2184,Queens
Multi-family home for sale,1350888,4,3,2184,Queens
House for sale,1499888,4,3,2688,Queens
Multi-family home for sale,1090000,12,6,4875,Queens
House for sale,899000,4,2,1672,Queens
Co-op for sale,269000,1,1,2184,Queens
House for sale,693000,4,2,2184,Queens
Multi-family home for sale,1150000,5,3,2184,Queens
House for sale,889000,3,2,2184,Queens
Pending,555000,3,1,1504,Queens
Multi-family home for sale,697777,3,2,2184,Queens
Multi-family home for sale,848000,5,2,2184,Queens
House for sale,1448000,3,2,2184,Queens
House for sale,780000,3,3,1344,Queens
Multi-family home for sale,889000,6,3,2184,Queens
Multi-family home for sale,1450000,12,6,2184,Queens
Multi-family home for sale,779000,4,2,2184,Queens
Multi-family home for sale,799000,6,4,2200,Queens
House for sale,695000,3,2,2184,Queens
Co-op for sale,639000,3,2,2184,Queens
Multi-family home for sale,989000,4,4,2184,Queens
Co-op for sale,435000,2,1,925,Queens
Condo for sale,585000,1,2,869,Queens
House for sale,738000,4,2,2184,Queens
Townhouse for sale,899000,4,3,1960,Queens
Multi-family home for sale,1325000,6,5,2184,Queens
House for sale,1475000,5,3,2637,Queens
House for sale,1528000,4,2,2184,Queens
House for sale,1287777,5,2,2184,Queens
Pending,875000,3,2,2184,Queens
Multi-family home for sale,1200000,6,3,2184,Queens
Multi-family home for sale,1200000,6,3,2184,Queens
House for sale,868000,3,2,1452,Queens
Pending,988000,2,2,2451,Queens
Co-op for sale,219000,1,1,2184,Queens
Co-op for sale,299000,1,1,2184,Queens
Multi-family home for sale,1180000,6,5,1810,Queens
House for sale,515000,3,1,882,Queens
Multi-family home for sale,2350000,6,4,2700,Queens
House for sale,1788000,4,4,2716,Queens
Multi-family home for sale,1590000,5,4,2880,Queens
Multi-family home for sale,1075000,5,4,2905,Queens
House for sale,975000,3,2,2184,Queens
Co-op for sale,329000,2,1,2184,Queens
Multi-family home for sale,999990,6,4,2184,Queens
Co-op for sale,310000,2,1,2184,Queens
Pending,1425000,4,3,2184,Queens
Condo for sale,675000,2,2,904,Queens
Multi-family home for sale,999999,3,2,2184,Queens
Multi-family home for sale,1199000,6,3,2184,Queens
Pending,765000,4,2,2184,Queens
Multi-family home for sale,1199000,6,3,2184,Queens
Townhouse for sale,849000,3,2,1296,Queens
Multi-family home for sale,999000,4,3,2184,Queens
Multi-family home for sale,1280000,9,6,2184,Queens
Multi-family home for sale,5827000,3,2,55300,Queens
Multi-family home for sale,5827000,3,2,55300,Queens
Pending,758888,4,2,2184,Queens
Multi-family home for sale,1288000,5,5,2500,Queens
Multi-family home for sale,2290000,4,5,2184,Queens
House for sale,998000,3,2,2184,Queens
Multi-family home for sale,2198888,11,6,2184,Queens
House for sale,715000,3,2,2184,Queens
Multi-family home for sale,949000,6,3,2184,Queens
Pending,1188000,3,2,2184,Queens
Multi-family home for sale,1350000,7,4,2800,Queens
House for sale,914999,4,2,2184,Queens
House for sale,750000,3,2,2184,Queens
House for sale,728000,2,1,1440,Queens
Co-op for sale,239900,1,1,2184,Queens
House for sale,2300000,3,2,2800,Queens
House for sale,735000,3,2,2184,Queens
Pending,859000,3,2,2184,Queens
Multi-family home for sale,928888,4,2,1480,Queens
House for sale,1390000,5,2,2184,Queens
House for sale,938000,3,2,1836,Queens
House for sale,769000,3,2,2184,Queens
Multi-family home for sale,1860000,6,4,2184,Queens
Co-op for sale,220000,1,1,750,Queens
Multi-family home for sale,2280000,6,5,2184,Queens
Multi-family home for sale,1250828,7,2,2184,Queens
Co-op for sale,390000,2,1,1100,Queens
Multi-family home for sale,1188888,4,2,2184,Queens
House for sale,985000,3,2,2184,Queens
Multi-family home for sale,1245000,5,2,1800,Queens
Condo for sale,950000,2,2,1025,Queens
Multi-family home for sale,1680000,7,4,3780,Queens
House for sale,749000,3,2,2184,Queens
House for sale,749000,3,2,2184,Queens
House for sale,1399000,5,4,2184,Queens
House for sale,999000,3,2,1260,Queens
Multi-family home for sale,1188000,6,2,2186,Queens
House for sale,569000,3,1,2184,Queens
Condo for sale,399000,3,1,391,Queens
Multi-family home for sale,1990000,5,2,2184,Queens
Multi-family home for sale,1150000,4,3,2184,Queens
Multi-family home for sale,2498000,6,6,3184,Queens
Co-op for sale,245000,3,1,713,Queens
Multi-family home for sale,950000,3,2,2184,Queens
House for sale,730000,4,3,1648,Queens
House for sale,829000,5,4,2184,Queens
House for sale,888000,4,2,2184,Queens
Multi-family home for sale,1149000,6,3,2600,Queens
Multi-family home for sale,3900000,6,3,2184,Queens
House for sale,725000,5,2,2184,Queens
House for sale,939999,3,2,3096,Queens
Co-op for sale,500000,3,2,1200,Queens
House for sale,1288000,3,4,2184,Queens
Townhouse for sale,1238000,3,2,1500,Queens
Pending,669000,3,1,1080,Queens
House for sale,1288000,3,4,2184,Queens
Co-op for sale,585000,3,1,1050,Queens
House for sale,634900,2,2,2184,Queens
House for sale,1950000,3,2,2184,Queens
Multi-family home for sale,899000,4,3,2184,Queens
Multi-family home for sale,899000,4,3,2184,Queens
Multi-family home for sale,1399000,4,3,2283,Queens
Co-op for sale,335000,1,1,2184,Queens
Multi-family home for sale,1780000,10,7,2184,Queens
House for sale,999000,4,3,2184,Queens
Co-op for sale,215000,3,1,2184,Queens
House for sale,759000,3,1,2184,Queens
Co-op for sale,389888,1,1,730,Queens
House for sale,1100000,5,3,2192,Queens
Multi-family home for sale,1380000,5,3,2184,Queens
Condo for sale,395000,1,1,519,Queens
House for sale,988000,4,3,1552,Queens
Condo for sale,528000,2,1,753,Queens
Pending,1380000,6,4,2184,Queens
House for sale,849000,3,2,2184,Queens
Multi-family home for sale,1095000,3,2,2184,Queens
Multi-family home for sale,720000,3,2,2184,Queens
House for sale,729999,3,2,1056,Queens
Pending,749000,3,1,2184,Queens
Multi-family home for sale,1699000,5,5,2184,Queens
Condo for sale,2375000,2,2,986,Queens
House for sale,425000,2,1,2184,Queens
Condo for sale,2998000,3,3,1763,Queens
House for sale,450000,3,2,2184,Queens
House for sale,729000,3,3,2184,Queens
Townhouse for sale,868000,2,2,1152,Queens
House for sale,998888,4,3,2184,Queens
Townhouse for sale,1348000,5,2,2184,Queens
Co-op for sale,465000,2,1,2184,Queens
House for sale,2480000,4,4,5150,Queens
House for sale,1180000,4,3,2184,Queens
House for sale,849999,3,2,2184,Queens
House for sale,1275000,4,2,2184,Queens
House for sale,988000,3,1,1296,Queens
House for sale,849999,3,2,2184,Queens
Co-op for sale,279000,2,1,2184,Queens
Multi-family home for sale,2599000,11,6,5088,Queens
Multi-family home for sale,1800000,9,7,2184,Queens
House for sale,1370000,6,3,2184,Queens
House for sale,345000,3,2,2184,Queens
House for sale,1578000,5,3,2152,Queens
House for sale,715000,3,2,2184,Queens
Pending,1599000,6,4,3690,Queens
Co-op for sale,388000,2,1,2184,Queens
House for sale,599999,5,4,2184,Queens
House for sale,925000,3,2,2184,Queens
House for sale,799000,5,3,2184,Queens
Pending,1399000,4,2,1800,Queens
House for sale,1880000,3,5,1920,Queens
House for sale,925000,3,2,2184,Queens
House for sale,799000,5,3,2184,Queens
House for sale,4500000,6,4,2184,Queens
House for sale,798000,3,2,760,Queens
Pending,775000,4,2,1230,Queens
Co-op for sale,225000,1,1,2184,Queens
Co-op for sale,225000,1,1,2184,Queens
Co-op for sale,255000,1,1,2184,Queens
House for sale,2095000,4,4,3223,Queens
House for sale,1598000,4,4,2184,Queens
Pending,1098000,4,4,2184,Queens
House for sale,945000,2,2,2184,Queens
Multi-family home for sale,1598000,7,2,2184,Queens
Multi-family home for sale,1849000,6,3,2184,Queens
Multi-family home for sale,1250000,5,2,2184,Queens
House for sale,1900000,4,2,1400,Queens
House for sale,1288000,3,3,1696,Queens
Condo for sale,399000,3,2,2184,Queens
Multi-family home for sale,2200000,6,6,2184,Queens
Multi-family home for sale,749000,4,2,2184,Queens
Pending,399000,1,1,2184,Queens
Pending,698999,3,2,2184,Queens
House for sale,1078000,3,2,1260,Queens
Pending,1098888,2,3,2184,Queens
Co-op for sale,279000,1,1,2184,Queens
Multi-family home for sale,1325000,6,4,2184,Queens
Multi-family home for sale,1960000,8,7,2184,Queens
Multi-family home for sale,1235000,8,5,2538,Queens
Multi-family home for sale,450000,4,2,2184,Queens
House for sale,649999,4,1,2184,Queens
House for sale,728888,4,3,1379,Queens
Multi-family home for sale,1290000,3,2,2184,Queens
House for sale,550000,3,2,1221,Queens
House for sale,1099999,3,1,1100,Queens
House for sale,659000,4,2,2184,Queens
Multi-family home for sale,2150000,6,2,2184,Queens
Pending,1088888,3,4,2550,Queens
Pending,749000,3,3,1368,Queens
House for sale,709999,4,2,2184,Queens
Multi-family home for sale,2300000,11,6,2184,Queens
House for sale,709999,4,2,2184,Queens
House for sale,686000,3,2,2184,Queens
Pending,1848888,6,4,3234,Queens
Multi-family home for sale,2480000,7,6,2740,Queens
House for sale,15000000,3,2,2184,Queens
Co-op for sale,349000,2,1,800,Queens
Pending,995000,4,2,2184,Queens
Co-op for sale,289000,1,1,750,Queens
Multi-family home for sale,1350000,3,5,3210,Queens
Townhouse for sale,939000,3,2,1728,Queens
Multi-family home for sale,889000,5,2,2184,Queens
Multi-family home for sale,1580000,6,4,2184,Queens
Co-op for sale,288800,2,1,2184,Queens
Multi-family home for sale,1098000,3,3,1155,Queens
House for sale,1750000,4,1,2184,Queens
House for sale,769000,2,2,992,Queens
Condo for sale,568000,1,1,680,Queens
Pending,999999,5,3,2184,Queens
House for sale,989000,4,3,1305,Queens
Condo for sale,660400,1,2,2184,Queens
Condo for sale,630000,2,2,2184,Queens
Multi-family home for sale,789000,4,2,2184,Queens
Multi-family home for sale,5980000,40,20,15500,Queens
Co-op for sale,275000,2,1,2184,Queens
House for sale,925000,2,2,2100,Queens
House for sale,1030000,4,2,1624,Queens
Multi-family home for sale,1698000,12,4,2184,Queens
Multi-family home for sale,1098000,3,3,2184,Queens
Multi-family home for sale,3900000,5,3,2184,Queens
House for sale,1049000,4,3,2184,Queens
Multi-family home for sale,1149000,11,6,4350,Queens
Multi-family home for sale,1288000,4,3,2240,Queens
Multi-family home for sale,1180000,4,5,3100,Queens
House for sale,1300000,5,3,1750,Queens
Townhouse for sale,979000,3,2,2184,Queens
Pending,589000,4,2,2235,Queens
Co-op for sale,263000,2,1,2184,Queens
Multi-family home for sale,928500,5,4,2184,Queens
Multi-family home for sale,1400000,6,2,2184,Queens
Multi-family home for sale,1069000,6,5,2184,Queens
Co-op for sale,195000,3,1,2184,Queens
Multi-family home for sale,1690000,7,7,4600,Queens
Multi-family home for sale,899999,5,3,1440,Queens
Townhouse for sale,889000,2,1,1056,Queens
Multi-family home for sale,650000,3,3,2184,Queens
Pending,970000,3,2,2184,Queens
Multi-family home for sale,1750000,7,3,4065,Queens
House for sale,868000,3,2,2184,Queens
Multi-family home for sale,1208000,11,6,5160,Queens
House for sale,749000,5,4,2184,Queens
Multi-family home for sale,1499000,7,4,3570,Queens
Co-op for sale,335000,2,1,2184,Queens
Co-op for sale,220000,1,1,2184,Queens
Townhouse for sale,579000,3,2,2184,Queens
House for sale,868000,3,2,1690,Queens
House for sale,699900,5,1,1827,Queens
House for sale,559900,3,2,2184,Queens
Autre_Type,650000,3,2,2184,Queens
Co-op for sale,178000,3,1,719,Queens
House for sale,3399000,7,2,3446,Queens
Townhouse for sale,528000,2,2,2184,Queens
Condo for sale,615000,2,1,733,Queens
Co-op for sale,178000,3,1,719,Queens
Multi-family home for sale,1398000,4,2,2184,Queens
House for sale,825000,3,2,1400,Queens
Multi-family home for sale,1169900,6,4,2310,Queens
House for sale,1425000,5,4,2184,Queens
House for sale,1425000,5,4,2184,Queens
Autre_Type,1100000,3,2,2184,Queens
House for sale,699000,3,1,4000,Queens
Multi-family home for sale,1245000,7,6,2184,Queens
Multi-family home for sale,1990000,6,5,2150,Queens
House for sale,1200000,4,2,2184,Queens
Townhouse for sale,925000,3,2,1875,Queens
Pending,825000,2,1,2184,Queens
House for sale,899000,3,1,2184,Queens
Multi-family home for sale,904000,4,3,2184,Queens
House for sale,669000,3,1,2184,Queens
House for sale,590000,5,3,1152,Queens
House for sale,738280,3,2,1302,Queens
House for sale,799000,4,2,2184,Queens
Multi-family home for sale,989000,7,5,3978,Queens
Multi-family home for sale,599000,5,2,2184,Queens
Multi-family home for sale,1548000,9,4,4539,Queens
Pending,1188000,7,2,2184,Queens
Multi-family home for sale,1595000,5,3,2184,Queens
Multi-family home for sale,1089000,4,3,2184,Queens
Pending,559900,2,1,1217,Queens
Condo for sale,780000,3,3,1236,Queens
Multi-family home for sale,775000,4,2,2184,Queens
Multi-family home for sale,1290000,5,3,2184,Queens
House for sale,1499000,7,6,2184,Queens
House for sale,845000,4,2,2184,Queens
Condo for sale,599888,1,1,826,Queens
House for sale,1548000,9,4,2184,Queens
House for sale,988000,4,4,2184,Queens
Condo for sale,1400000,3,2,1625,Queens
House for sale,1499000,5,4,3200,Queens
Pending,780000,3,2,1900,Queens
Multi-family home for sale,995000,7,5,2184,Queens
Condo for sale,555000,2,1,2184,Queens
Multi-family home for sale,1250000,11,6,2184,Queens
House for sale,725000,3,2,2184,Queens
Pending,938000,2,2,1700,Queens
Pending,1238000,3,2,1550,Queens
Co-op for sale,499000,2,1,2184,Queens
Multi-family home for sale,1090000,5,3,2184,Queens
Multi-family home for sale,1348000,6,3,2184,Queens
House for sale,849000,4,2,2184,Queens
Condo for sale,585000,3,2,2184,Queens
Pending,1688000,4,3,2880,Queens
Condo for sale,880000,1,1,713,Queens
Pending,769000,2,2,2184,Queens
Multi-family home for sale,797777,4,2,2184,Queens
Pending,680000,4,2,1536,Queens
House for sale,549000,4,2,2184,Queens
Multi-family home for sale,1049000,6,2,2184,Queens
Multi-family home for sale,2299000,8,5,2700,Queens
House for sale,3750000,13,8,2184,Queens
Multi-family home for sale,1990000,6,5,2100,Queens
Pending,599889,2,2,2184,Queens
House for sale,710000,3,2,1400,Queens
Multi-family home for sale,2350000,15,10,8460,Queens
Condo for sale,749000,2,2,1258,Queens
Multi-family home for sale,1599999,8,4,2184,Queens
House for sale,649000,3,2,2000,Queens
Co-op for sale,309000,1,1,2184,Queens
Multi-family home for sale,2780000,14,9,2184,Queens
House for sale,649000,3,2,2000,Queens
Multi-family home for sale,1290000,6,5,2340,Queens
Multi-family home for sale,1075000,5,2,2184,Queens
House for sale,1149000,3,1,2184,Queens
Co-op for sale,279000,2,1,2184,Queens
House for sale,849990,5,3,2184,Queens
Townhouse for sale,799000,3,2,1184,Queens
House for sale,849990,5,3,2184,Queens
House for sale,1500000,3,1,2184,Queens
Co-op for sale,295000,1,1,2184,Queens
Multi-family home for sale,1598000,8,5,2184,Queens
House for sale,799000,3,2,2184,Queens
Multi-family home for sale,2499000,18,12,2520,Queens
Multi-family home for sale,1285000,4,2,2184,Queens
Co-op for sale,365000,2,1,2184,Queens
Pending,925000,3,2,2184,Queens
Multi-family home for sale,1273000,3,3,2184,Queens
Townhouse for sale,1495000,6,2,2184,Queens
House for sale,620000,3,2,1280,Queens
Multi-family home for sale,879000,4,3,2184,Queens
Multi-family home for sale,1698888,10,6,3025,Queens
Multi-family home for sale,699000,4,2,2184,Queens
House for sale,1578000,5,3,2184,Queens
House for sale,849000,4,3,2184,Queens
Condo for sale,580000,1,2,2184,Queens
Multi-family home for sale,1695000,6,4,2184,Queens
Multi-family home for sale,1690000,7,7,4600,Queens
Condo for sale,600000,1,1,830,Queens
Townhouse for sale,1790000,4,5,2736,Queens
Multi-family home for sale,2720000,8,4,2184,Queens
Multi-family home for sale,1488000,5,3,1920,Queens
Multi-family home for sale,1325000,4,2,2184,Queens
Condo for sale,399000,1,1,771,Queens
Multi-family home for sale,1250000,5,5,2184,Queens
House for sale,970000,4,2,2185,Queens
Condo for sale,1249000,4,2,1605,Queens
Pending,549000,6,4,2184,Queens
House for sale,929888,3,2,1070,Queens
House for sale,948000,3,2,1368,Queens
House for sale,999000,4,2,2184,Queens
House for sale,1398000,4,2,2184,Queens
Condo for sale,518000,1,1,2184,Queens
Pending,1058000,3,2,2184,Queens
Multi-family home for sale,1499000,5,2,1520,Queens
Multi-family home for sale,1299999,4,2,2184,Queens
Condo for sale,349000,2,1,2184,Queens
Pending,1299999,6,5,3608,Queens
Multi-family home for sale,1380000,12,3,2681,Queens
Co-op for sale,245000,1,1,2184,Queens
Co-op for sale,215000,3,1,625,Queens
House for sale,260000,4,2,2015,Staten Island
House for sale,16800000,8,16,33000,Staten Island
Townhouse for sale,689000,3,2,1162,Staten Island
House for sale,639999,3,2,1260,Staten Island
House for sale,750000,2,2,1330,Staten Island
Condo for sale,329000,1,2,794,Staten Island
Multi-family home for sale,1199000,6,5,3290,Staten Island
Multi-family home for sale,889000,2,2,1520,Staten Island
Multi-family home for sale,1049000,4,4,2554,Staten Island
House for sale,998800,3,4,2400,Staten Island
Contingent,619888,3,2,1400,Staten Island
Multi-family home for sale,1489000,6,2,3780,Staten Island
Multi-family home for sale,798000,3,4,2150,Staten Island
House for sale,585000,3,2,1100,Staten Island
Multi-family home for sale,790000,6,3,2520,Staten Island
House for sale,899000,3,2,1440,Staten Island
House for sale,1495000,4,2,3000,Staten Island
House for sale,694000,3,3,1360,Staten Island
House for sale,319000,3,2,1224,Staten Island
House for sale,799000,4,2,1975,Staten Island
House for sale,1195000,4,4,2704,Staten Island
Pending,90000,1,1,660,Staten Island
House for sale,350000,2,1,490,Staten Island
House for sale,1165000,3,4,3500,Staten Island
House for sale,729900,3,2,1150,Staten Island
House for sale,2800000,4,6,8333,Staten Island
Pending,769000,3,4,2184,Staten Island
House for sale,879000,4,2,1238,Staten Island
House for sale,998000,4,4,2000,Staten Island
House for sale,1195000,4,4,2688,Staten Island
House for sale,955000,4,4,2100,Staten Island
Contingent,899999,3,2,1784,Staten Island
House for sale,689000,3,2,1248,Staten Island
House for sale,649999,3,2,1440,Staten Island
House for sale,669000,3,2,864,Staten Island
House for sale,390000,2,1,586,Staten Island
House for sale,1450000,4,2,2700,Staten Island
House for sale,689999,3,2,1008,Staten Island
House for sale,519000,3,2,1480,Staten Island
Contingent,599000,4,4,2800,Staten Island
Townhouse for sale,699998,3,2,1548,Staten Island
Contingent,499000,3,2,1288,Staten Island
House for sale,2580000,8,2,6493,Staten Island
House for sale,1150000,2,2,1444,Staten Island
Multi-family home for sale,815156,4,4,2945,Staten Island
House for sale,1599000,5,3,5600,Staten Island
House for sale,1299900,4,4,2755,Staten Island
House for sale,765000,3,4,2205,Staten Island
Multi-family home for sale,849998,4,2,2342,Staten Island
House for sale,699900,3,2,1470,Staten Island
Multi-family home for sale,1369000,4,2,2900,Staten Island
House for sale,749000,4,1,1040,Staten Island
Pending,879900,3,2,2242,Staten Island
Autre_Type,479000,6,2,3100,Staten Island
Contingent,720000,3,2,1430,Staten Island
House for sale,1250000,4,4,3300,Staten Island
House for sale,774888,3,2,960,Staten Island
Pending,748999,3,2,1620,Staten Island
Autre_Type,3950000,3,2,2184,Staten Island
House for sale,675000,3,1,1404,Staten Island
Townhouse for sale,559900,3,2,980,Staten Island
House for sale,1150000,3,4,3000,Staten Island
Autre_Type,150000,3,2,2184,Staten Island
Autre_Type,150000,3,2,2184,Staten Island
Autre_Type,149000,3,2,2184,Staten Island
Multi-family home for sale,898000,6,3,2100,Staten Island
Multi-family home for sale,678990,3,3,1575,Staten Island
Condo for sale,549000,3,2,1092,Staten Island
House for sale,849000,3,2,2000,Staten Island
House for sale,130000,3,2,664,Staten Island
Contingent,489000,2,1,978,Staten Island
Contingent,589000,3,2,2310,Staten Island
Condo for sale,329000,2,1,850,Staten Island
Contingent,614900,3,2,1495,Staten Island
Autre_Type,348000,3,2,2184,Staten Island
Multi-family home for sale,1095000,4,4,2280,Staten Island
House for sale,265000,2,1,660,Staten Island
House for sale,599999,3,2,1360,Staten Island
Pending,1188000,4,2,3840,Staten Island
Autre_Type,579900,3,2,2640,Staten Island
Multi-family home for sale,924800,4,3,2049,Staten Island
Multi-family home for sale,995000,5,2,2288,Staten Island
Townhouse for sale,695000,3,2,1793,Staten Island
Townhouse for sale,695000,3,2,1793,Staten Island
Multi-family home for sale,899000,7,3,1980,Staten Island
Multi-family home for sale,1288000,6,5,2640,Staten Island
Condo for sale,728000,3,2,1890,Staten Island
House for sale,549000,3,1,1400,Staten Island
House for sale,1250000,5,4,3427,Staten Island
Multi-family home for sale,869999,5,3,2080,Staten Island
House for sale,1248888,4,4,3500,Staten Island
Autre_Type,249900,2,2,800,Staten Island
House for sale,650000,4,1,1152,Staten Island
House for sale,1200000,4,3,2052,Staten Island
Autre_Type,899900,3,3,2550,Staten Island
Autre_Type,750000,4,3,3098,Staten Island
House for sale,669999,4,2,1196,Staten Island
Contingent,575000,2,1,1200,Staten Island
House for sale,548800,3,4,1440,Staten Island
House for sale,899000,3,4,2208,Staten Island
Pending,499000,3,1,1176,Staten Island
House for sale,674999,3,2,1440,Staten Island
House for sale,2750000,6,5,6300,Staten Island
House for sale,989000,4,4,2400,Staten Island
House for sale,650000,3,2,2184,Staten Island
Contingent,1999999,4,4,4803,Staten Island
House for sale,1100000,3,4,3750,Staten Island
Multi-family home for sale,1348888,3,4,2450,Staten Island
House for sale,995000,3,2,1987,Staten Island
Multi-family home for sale,560000,5,2,2624,Staten Island
Multi-family home for sale,868000,3,4,2024,Staten Island
Contingent,479888,3,2,1188,Staten Island
House for sale,588888,4,2,1640,Staten Island
House for sale,825000,4,2,2230,Staten Island
Contingent,795000,3,3,1860,Staten Island
House for sale,1249949,4,4,2720,Staten Island
House for sale,495000,2,2,953,Staten Island
House for sale,899000,5,2,2184,Staten Island
House for sale,545000,6,3,1344,Staten Island
House for sale,1088888,5,4,2452,Staten Island
House for sale,199000,2,1,900,Staten Island
Multi-family home for sale,999999,5,2,2754,Staten Island
House for sale,799500,2,2,2250,Staten Island
Townhouse for sale,529000,3,2,1618,Staten Island
Multi-family home for sale,850000,4,2,2375,Staten Island
House for sale,588000,3,2,1140,Staten Island
Multi-family home for sale,778000,4,3,2185,Staten Island
Townhouse for sale,334999,1,2,1059,Staten Island
Townhouse for sale,334999,1,2,1059,Staten Island
House for sale,988000,4,2,2400,Staten Island
House for sale,764600,4,2,1884,Staten Island
House for sale,499900,3,2,1232,Staten Island
House for sale,499900,3,2,1232,Staten Island
Multi-family home for sale,890000,5,2,2144,Staten Island
House for sale,725000,3,2,1476,Staten Island
House for sale,285000,3,1,1428,Staten Island
Contingent,869900,4,2,2280,Staten Island
House for sale,799000,3,2,864,Staten Island
Multi-family home for sale,1199000,4,4,2279,Staten Island
House for sale,850000,3,2,2160,Staten Island
House for sale,1070000,4,2,2192,Staten Island
Multi-family home for sale,963000,4,4,2400,Staten Island
House for sale,690000,3,2,1284,Staten Island
House for sale,899000,3,1,1050,Staten Island
House for sale,1139000,4,4,3150,Staten Island
House for sale,549000,5,2,1716,Staten Island
House for sale,475000,3,2,900,Staten Island
House for sale,2699000,7,6,11250,Staten Island
House for sale,2699000,7,6,11250,Staten Island
House for sale,989000,6,4,2720,Staten Island
House for sale,499999,4,2,1248,Staten Island
House for sale,599999,3,2,1272,Staten Island
House for sale,725000,4,2,2000,Staten Island
House for sale,1999000,4,4,3420,Staten Island
Multi-family home for sale,639888,5,3,1376,Staten Island
House for sale,569900,4,2,2180,Staten Island
House for sale,589000,4,3,1320,Staten Island
Pending,958000,3,2,2259,Staten Island
House for sale,299000,1,1,608,Staten Island
House for sale,1600000,4,4,3150,Staten Island
House for sale,2400000,5,4,3800,Staten Island
House for sale,799999,3,2,1596,Staten Island
House for sale,1099000,5,4,3500,Staten Island
Townhouse for sale,475000,2,2,1364,Staten Island
Contingent,619000,3,2,1943,Staten Island
Contingent,599000,3,1,1008,Staten Island
Contingent,689900,3,2,1486,Staten Island
Townhouse for sale,549000,3,2,1150,Staten Island
House for sale,874999,3,2,2868,Staten Island
Contingent,999000,4,4,1798,Staten Island
House for sale,729000,2,1,1100,Staten Island
House for sale,2898555,5,5,7200,Staten Island
House for sale,2358000,4,5,6300,Staten Island
House for sale,748888,2,2,1260,Staten Island
House for sale,630000,2,2,1450,Staten Island
House for sale,319000,3,1,2184,Staten Island
Pending,1250000,6,4,2184,Staten Island
Multi-family home for sale,1500000,6,4,3328,Staten Island
House for sale,628000,3,2,1824,Staten Island
Contingent,2473888,4,6,5600,Staten Island
Contingent,785000,3,2,1950,Staten Island
Multi-family home for sale,1239998,4,4,2250,Staten Island
House for sale,889000,3,2,2362,Staten Island
Multi-family home for sale,1195000,3,2,2700,Staten Island
House for sale,749000,3,1,1644,Staten Island
Condo for sale,449000,2,2,1440,Staten Island
Townhouse for sale,799900,3,2,2058,Staten Island
Autre_Type,605000,4,2,1344,Staten Island
House for sale,529000,3,2,1150,Staten Island
Contingent,675000,3,1,1316,Staten Island
Contingent,789000,4,2,1871,Staten Island
Multi-family home for sale,589999,4,2,1680,Staten Island
House for sale,749000,3,2,1332,Staten Island
House for sale,1999999,5,2,5301,Staten Island
Contingent,748000,3,2,1592,Staten Island
Multi-family home for sale,1100000,3,2,1928,Staten Island
House for sale,1275000,3,4,2380,Staten Island
House for sale,929000,5,2,2200,Staten Island
Townhouse for sale,549990,3,2,2184,Staten Island
House for sale,649000,3,2,980,Staten Island
House for sale,499999,2,1,800,Staten Island
Multi-family home for sale,999998,4,4,2720,Staten Island
